type,beta,h,m,q0,q1,p,err,complexity_p1,average,replicon,entropy,computed_m
finite M,6.8,-0.5017548817702835,0.38,0.28583692033495,0.2858369203349621,0.0011133542037441062,9.304204430878647e-7,-0.0,2.9525023117679137,0.0050463307404916,0.1973311237426818,0.3800001836758183
finite M,6.9,-0.5018734697823546,0.38,0.2871246082423378,0.28712460824240105,0.0011133542037441062,9.741994280925165e-7,1.3322676295501878e-15,2.960666685992863,0.004672911345650656,0.19329340091858715,0.38000019642195487
finite M,7.0,-0.5019848372889024,0.38,0.28838078217635377,0.2883807821766414,0.0011133542037441062,9.381109419503686e-7,4.6629367034256575e-15,2.9685295796282603,0.004318741436616702,0.18934787118848262,0.38000019309794847
finite M,7.1,-0.5020878124803073,0.38,0.2896069141311629,0.28960691413237216,0.0011133542037441062,9.83220360283096e-7,2.1316282072803006e-14,2.9760916242088067,0.003982609512915469,0.18549854238284724,0.3800002065261924
finite M,7.2,-0.5021847215714526,0.38,0.2908033914178674,0.2908033914224874,0.0011133542037441062,9.476182475477735e-7,8.126832540256146e-14,2.9833822040700455,0.0036633687317086314,0.1817345608446126,0.38000020304119236
finite M,7.3,-0.5022742544628667,0.38,0.29197163751947364,0.29197163753587607,0.0011133542037441062,9.94124251250088e-7,3.1397107136399427e-13,2.9903996467091174,0.003359980170208542,0.17806069102180677,0.3800002171953313
finite M,7.4,-0.502358781695164,0.38,0.2931119713486931,0.2931119714018547,0.0011133542037441062,9.585976099246723e-7,1.0123013538532177e-12,2.9971728146471777,0.0030714553211239164,0.17446552415427252,0.3800002134731897
finite M,7.5,-0.5024378237293625,0.38,0.29422550113700685,0.2942255012973571,0.0011133542037441062,9.24998536180442e-7,3.0395685968187536e-12,3.003706079627284,0.0027968940324889432,0.170950167309728,0.38000020988887073
finite M,7.6,-0.5025108792525514,0.38,0.2953132922568354,0.2953132927069668,0.0011133542037441062,9.716677238206966e-7,9.255707311695005e-12,3.0100031132034393,0.0025354590660168763,0.1675160684613839,0.3800002245729719
finite M,7.7,-0.5025803137337425,0.38,0.29637558835871214,0.2963755895175126,0.0011133542037441062,9.383469915504101e-7,2.3811175253740657e-11,3.0160915964655097,0.002286354272413145,0.1641513004107258,0.38000022082548224
finite M,7.8,-0.5026445626745353,0.38,0.297413678845062,0.29741368162453813,0.0011133542037441062,9.865051472945944e-7,5.738387542919554e-11,3.0219653426464888,0.002048860843643391,0.16086228373275002,0.3800002363150284
finite M,7.9,-0.5027060610155988,0.38,0.29842774177285436,0.29842774790687954,0.0011133542037441062,9.529994092470337e-7,1.301123653263403e-10,3.0276519829508466,0.0018222863266239096,0.15763639935502316,0.3800002323032858
finite M,8.0,-0.5027641610668367,0.38,0.29941875477447977,0.299418767400513,0.0011133542037441062,9.21232046171954e-7,2.789277697701209e-10,3.0331524507908862,0.0016060017491090033,0.15447571743171773,0.380000228439836
finite M,8.1,-0.5028183905681697,0.38,0.3003876074167281,0.3003876316550585,0.0022302913510231933,9.549578225228428e-7,5.273328440580372e-10,3.0384687903549144,0.0013994188506576844,0.15138169483061015,0.38000024082449413
