type,beta,h,m,q0,q1,p,err,beta_p1,h_p1,m_p1,q0_p1,q1_p1,p_p1,err_p1
finite M,16.0,-0.47206274338976817,0.4,0.33523434006372266,0.37412903237255024,0.35808837513105807,9.990413382492216e-7,16.0,-0.46365002388381216,0.4,0.36181970329797974,0.38430468263783785,1.0,9.646218034087796e-7
finite M,16.1,-0.47206174118341426,0.4,0.3352805247512822,0.37440570677624563,0.35672796911670046,9.993115898025774e-7,16.1,-0.46347966178939304,0.4,0.36209295351549353,0.3845770628529371,1.0,9.7239653578799e-7
finite M,16.2,-0.4720607211132051,0.4,0.3353263515945788,0.3746774732631571,0.3553773541442743,9.99561033050485e-7,16.2,-0.4633114702839548,0.4,0.3623627373551889,0.3848435733706404,1.0,9.834854825892076e-7
finite M,16.3,-0.47205968376690277,0.4,0.33537182744064653,0.3749444500581505,0.354036473834872,9.998053847036436e-7,16.3,-0.4631456653105843,0.4,0.3626290903449736,0.3851043901808359,1.0,9.979986959299747e-7
finite M,16.4,-0.472058807461023,0.4,0.3354156924211592,0.375206409762118,0.35268914125886275,9.702279056431493e-7,16.4,-0.46297956529733697,0.4,0.3628924005091426,0.3853600421809891,1.0,9.742409124715696e-7
finite M,16.5,-0.47205765692272583,0.4,0.33546116687858174,0.3754642686725176,0.3513752849669508,9.926068353227578e-7,16.5,-0.4628160036631464,0.4,0.36315237779432,0.3856103254745349,1.0,9.506990039803926e-7
finite M,16.6,-0.472056524783921,0.4,0.3355059088255248,0.3757176567026431,0.35006728953829214,9.966989246413363e-7,16.6,-0.46265529838035574,0.4,0.36340904225594384,0.3858553860716008,1.0,9.271696292653849e-7
finite M,16.7,-0.472055401808844,0.4,0.3355501773545267,0.37596663805853986,0.3487666390915182,9.988138966127581e-7,16.7,-0.46250040750746146,0.4,0.3636620972826894,0.38609508971483464,1.0,9.802442168956266e-7
finite M,16.8,-0.47205427751471823,0.4,0.3355940466557461,0.37621133964074327,0.347474259591,9.999850851301603e-7,16.8,-0.46234612413084325,0.4,0.36391222525075445,0.3863301859010858,1.0,9.58410810848758e-7
finite M,16.9,-0.47205333644359765,0.4,0.3356362688772303,0.37645150691807655,0.34617445537786096,9.728981048377373e-7,16.9,-0.46219520511360934,0.4,0.36415914992042475,0.3865605132766525,1.0,9.333146635663012e-7
finite M,17.0,-0.47205210742801706,0.4,0.33568013204708863,0.3766881247569205,0.3449076371752504,9.930904955560712e-7,17.0,-0.462050788644754,0.4,0.3644025567495504,0.38678594736337246,1.0,9.847723639927462e-7
finite M,17.1,-0.4720509086773699,0.4,0.3357232775042528,0.3769207318623765,0.3436458614171184,9.974056233470543e-7,17.1,-0.4619075414634238,0.4,0.3646431290720567,0.38700716272039243,1.0,9.614046973445853e-7
finite M,17.2,-0.4720497256181499,0.4,0.33576595515447594,0.3771494058666853,0.3423908868340976,9.995491729570617e-7,17.2,-0.4617682640896236,0.4,0.3648805887346547,0.38722400780197347,1.0,9.344496613239418e-7
finite M,17.3,-0.47204874336937575,0.4,0.3358069449256748,0.3773738838945247,0.3411276826263222,9.741790374796068e-7,17.3,-0.46163615863128615,0.4,0.36511461765467507,0.38743637325111624,1.0,9.836786818877027e-7
finite M,17.4,-0.47204746593972835,0.4,0.33584959118265,0.377595188372005,0.3398968358558262,9.929943107243923e-7,17.4,-0.4615057915022186,0.4,0.3653458971897132,0.387644871122832,1.0,9.586076511258578e-7
finite M,17.5,-0.47204622776962835,0.4,0.3358915242480459,0.3778128067004143,0.33867041056869385,9.97430356758535e-7,17.5,-0.4613799883255825,0.4,0.36557414959003454,0.38784935741774884,1.0,9.296228863378513e-7
finite M,17.6,-0.4720450101232251,0.4,0.3359329920766094,0.37802682463554566,0.3374503647772688,9.99532812917434e-7,17.6,-0.4612619940281132,0.4,0.3657990558418345,0.3880497330355167,1.0,9.759347995963717e-7
finite M,17.7,-0.47204400299853233,0.4,0.3359727678710025,0.3782369642295289,0.3362218764444422,9.751018543224955e-7,17.7,-0.4611463126604656,0.4,0.3660212911614747,0.38824655802565256,1.0,9.489757849727303e-7
finite M,17.8,-0.47204269236327834,0.4,0.33601423177127837,0.37844426620330673,0.33502528620546357,9.925311197972244e-7,17.8,-0.4610387671509269,0.4,0.3662402446047296,0.3884394861413191,1.0,9.944229293911442e-7
finite M,17.9,-0.47204142759690326,0.4,0.33605499315256726,0.37864817694220076,0.33383267390373855,9.969166405849545e-7,17.9,-0.4609338346116083,0.4,0.36645658564831635,0.38862906174860673,1.0,9.653993568486615e-7
finite M,18.0,-0.4720401868931752,0.4,0.3360952960403368,0.378848786576605,0.33264610606062095,9.988768191139172e-7,18.0,-0.4608344076854868,0.4,0.3666700344811187,0.3888151448741152,1.0,9.3167707057112e-7
finite M,18.1,-0.47203895604254653,0.4,0.33613523153144104,0.3790461953714446,0.33146664422666683,9.996557257374277e-7,18.1,-0.46074383581068845,0.4,0.36688026708482885,0.38899763791375386,1.0,9.724788567500747e-7
finite M,18.2,-0.47203772836452795,0.4,0.3361748452845942,0.3792404861766372,0.33029476065478824,9.998342918004564e-7,18.2,-0.4606564694808718,0.4,0.36708795455151877,0.38917704780995666,1.0,9.411412411799644e-7
finite M,18.3,-0.4720365008748201,0.4,0.3362141608926395,0.37943173233189703,0.3291306414298352,9.996957356114985e-7,18.3,-0.46057819454743576,0.4,0.36729249373554873,0.38935304331970944,1.0,9.799154870830271e-7
finite M,18.4,-0.4720352723819813,0.4,0.33625319115714863,0.3796200016946177,0.3279743347207975,9.993777665185982e-7,18.4,-0.4605034270116874,0.4,0.3674945401068112,0.3895261216223786,1.0,9.461060783947148e-7
finite M,18.5,-0.47203404255493453,0.4,0.3362919436071917,0.3798053586242939,0.3268258227053318,9.989471571800044e-7,18.5,-0.46043812791898975,0.4,0.3676934880883505,0.38969594960779014,1.0,9.81904569233611e-7
finite M,18.6,-0.47203281146771475,0.4,0.3363304231926763,0.37998786496961096,0.32568505634652223,9.984362430965763e-7,18.6,-0.4603766525444889,0.4,0.36788999172371284,0.38986301806492213,1.0,9.453641834102878e-7
finite M,18.7,-0.47203157937784024,0.4,0.33636863359487557,0.38016758057044575,0.324551972153065,9.978607211799392e-7,18.7,-0.46032498889374884,0.4,0.3680834482742496,0.3900269894606821,1.0,9.774496349607594e-7
