type,beta,h,m,q0,q1,p,err,beta_p1,h_p1,m_p1,q0_p1,q1_p1,p_p1,err_p1
small M,136.06933552808576,-0.24789801050163157,0.005,2.8248439202403655e-5,0.0047358240309634675,0.4580366264957335,9.360565516369515e-7,136.06933552808576,-0.27642040973849236,0.005,0.0031093571573992014,0.004984624163608489,1.0,9.472411345837947e-7
small M,136.39486025422954,-0.2479000380275746,0.005,2.8248366183044656e-5,0.004736785061020466,0.4569176154930551,9.350751198968666e-7,136.39486025422954,-0.27648622346921453,0.005,0.0031142335111254294,0.004984846489641455,1.0,9.511663610027958e-7
small M,136.72038498037327,-0.24790208949227366,0.005,2.8248295738642374e-5,0.004737738632037289,0.4558042312623468,9.340772480733004e-7,136.72038498037327,-0.2765523894819102,0.005,0.003119069989867065,0.004985065860681256,1.0,9.55122708871121e-7
small M,137.04590970651702,-0.24790416495281445,0.005,2.8248227851460624e-5,0.004738684820600535,0.4546964298606796,9.330630222999963e-7,137.04590970651702,-0.2766189075537683,0.005,0.003123867020332253,0.004985282313913753,1.0,9.59109725603687e-7
small M,137.37143443266075,-0.2479062644641937,0.005,2.8248162504001515e-5,0.004739623702306539,0.4535941678217897,9.32032527270737e-7,137.37143443266075,-0.2766857774803397,0.005,0.0031286250224258107,0.0049854958860684456,1.0,9.631269759956096e-7
small M,137.6969591588045,-0.2479083880793379,0.005,2.8248099679000752e-5,0.004740555351777448,0.45249740214934064,9.30985847078939e-7,137.6969591588045,-0.2767529990749541,0.005,0.0031333444093962037,0.004985706613424022,1.0,9.671740399527996e-7
small M,138.02248388494826,-0.24791053584912137,0.005,2.824803935942207e-5,0.0047414798426769055,0.45140609031028456,9.299230646179876e-7,138.02248388494826,-0.2768205721681459,0.005,0.0031380255879786953,0.00498591453181398,1.0,9.712505128327763e-7
small M,138.34800861109198,-0.24791270782238495,0.005,2.8247981528452813e-5,0.004742397247725525,0.4503201902283652,9.288442606217024e-7,138.34800861109198,-0.2768884966070998,0.005,0.003142668958534538,0.004986119676632098,1.0,9.753560031763006e-7
small M,138.67353333723574,-0.24791490404595423,0.005,2.8247926169499328e-5,0.004743307638716019,0.4492396602777229,9.277495188218652e-7,138.67353333723574,-0.2769567722551058,0.005,0.003147274915186581,0.004986322082837929,1.0,9.794901340926615e-7
small M,138.99905806337947,-0.2479171245646573,0.005,2.824787326618103e-5,0.004744211086527935,0.448164459276592,9.266389209107287e-7,138.99905806337947,-0.2770253989910295,0.005,0.003151843845951213,0.00498652178496218,1.0,9.836525416878326e-7
small M,139.32458278952325,-0.24791936942134332,0.005,2.8247822802327088e-5,0.004745107661142278,0.44709454648114366,9.25512544861781e-7,139.32458278952325,-0.27709437670879095,0.005,0.0031563761328669603,0.004986718817112147,1.0,9.878428743628422e-7
small M,139.65010751566697,-0.2479216386568992,0.005,2.824777476197152e-5,0.004745997431655775,0.4460298815794179,9.24370471166797e-7,139.65010751566697,-0.2771637053168591,0.005,0.0031608721521196323,0.00498691321297696,1.0,9.920607910689457e-7
small M,139.97563224181073,-0.2479239323102688,0.005,2.8247729129348307e-5,0.004746880466294781,0.44497042468534886,9.232127810367523e-7,139.97563224181073,-0.27723338473775505,0.005,0.0031653322741643066,0.004987105005832913,1.0,9.963059659983967e-7
small M,140.30115696795446,-0.24792625041846822,0.005,2.824768588888773e-5,0.004747756832429069,0.44391613633291127,9.220395516040948e-7,140.30115696795446,-0.2773035504228061,0.005,0.0031697540885584482,0.004987289653205443,1.0,9.173999024632257e-7
small M,140.6266816940982,-0.24792859301660575,0.005,2.8247645025211722e-5,0.004748626596585237,0.4428669774703614,9.208508594011173e-7,140.6266816940982,-0.27737393957388606,0.005,0.0031741433462434813,0.00498747624607586,1.0,9.206354723102037e-7
